HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
N/A,N/A,N/A,N/A,N/A,Safari Hotel TU Son,Thá»‹ Tran Nam Ban,N/A,"Vietnam,Lam Dong Province,Thá»‹ Tran Nam Ban",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thá»‹ Tran Nam Ban,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g15295958-d23326618-Reviews-Safari_Hotel_TU_Son-Th_Tran_Nam_Ban_Lam_Dong_Province.html
"Tdp Ba Dinh 2., Thá»‹ Tran Nam Ban Vietnam",3,40,N/A,N/A,Nha nghi Song Anh,$14 ,N/A,"$14, - ,$14","Which popular attractions are close to Nha nghi Song Anh?, ,What are some restaurants close to Nha nghi Song Anh?, ",N/A,N/A,N/A,N/A,N/A,3,N/A,Thá»‹ Tran Nam Ban,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g15295958-d18192878-Reviews-Nha_nghi_Song_Anh-Th_Tran_Nam_Ban_Lam_Dong_Province.html
"139/7 Xo Viet Nghe Tinh,Ward 7., Lam Dong 67000 Vietnam",N/A,N/A,N/A,N/A,Sun Valley Hotel Resort,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong","Which popular attractions are close to Sun Valley Hotel Resort?, ,What are some restaurants close to Sun Valley Hotel Resort?, ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d21367603-Reviews-Sun_Valley_Hotel_Resort-Lam_Dong_Lam_Dong_Province.html
N/A,N/A,N/A,N/A,N/A,La An Dalat Retreat,Lat,N/A,"Vietnam,Lam Dong Province,Lat",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g15334653-d21286281-Reviews-La_An_Dalat_Retreat-Lat_Lam_Dong_Province.html
N/A,N/A,N/A,N/A,N/A,Lat Valley,Lat,N/A,"Vietnam,Lam Dong Province,Lat",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lat,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g15334653-d21401328-Reviews-Lat_Valley-Lat_Lam_Dong_Province.html
N/A,N/A,N/A,N/A,N/A,Ankroet Camp Da Lat,Lat,N/A,"Vietnam,Lam Dong Province,Lat",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g15334653-d21224084-Reviews-Ankroet_Camp_Da_Lat-Lat_Lam_Dong_Province.html
"Dang Gia and Duy Tan Street, Lac Duong 670000 Vietnam",N/A,N/A,N/A,N/A,Langbiang Art Station,$13 ,N/A,"$11, - ,$13","Which popular attractions are close to Langbiang Art Station?, ,What are some of the property amenities at Langbiang Art Station?, ,What food & drink options are available at Langbiang Art Station?, ,What are some restaurants close to Langbiang Art Station?, ",N/A,1 review,#1 of 1 hostel in Lac Duong,5,N/A,N/A,Excellent,2,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g14759657-d19507730-Reviews-Langbiang_Art_Station-Lac_Duong_Lam_Dong_Province.html
"127 Hoang Hoa Tham, Phuong 10, Da Lat 670000 Vietnam",89,41,N/A,N/A,The Windy Villa,Da Lat,N/A,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to The Windy Villa?, ,What are some restaurants close to The Windy Villa?, ",N/A,N/A,N/A,N/A,N/A,508,N/A,Da Lat,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d23373316-Reviews-The_Windy_Villa-Da_Lat_Lam_Dong_Province.html
"Bi Doup, Lac Duong Vietnam",5,93,N/A,N/A,Thanh Ngoc Hotel,Lac Duong,N/A,"Vietnam,Lam Dong Province,Lac Duong","Which popular attractions are close to Thanh Ngoc Hotel?, ,What are some restaurants close to Thanh Ngoc Hotel?, ",N/A,N/A,N/A,N/A,N/A,67,N/A,Lac Duong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g14759657-d13991870-Reviews-Thanh_Ngoc_Hotel-Lac_Duong_Lam_Dong_Province.html
"A14, Lac Duong Vietnam",5,93,N/A,N/A,Hotel Ngoc Thanh,Lac Duong,N/A,"Vietnam,Lam Dong Province,Lac Duong","Which popular attractions are close to Hotel Ngoc Thanh?, ,What food & drink options are available at Hotel Ngoc Thanh?, ,What are some restaurants close to Hotel Ngoc Thanh?, ",N/A,N/A,N/A,N/A,N/A,67,N/A,Lac Duong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g14759657-d13991956-Reviews-Hotel_Ngoc_Thanh-Lac_Duong_Lam_Dong_Province.html
